alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Best First Search;22;Euclidean;Never;Yes (2ms );2;162;70;
Best First Search;22;Octile;Never;Yes (2ms );2;161;70;
Best First Search;22;Chebyshev;Never;Yes (2ms );2;163;70;
Dijkstra;22;Manhattan;Never;Yes (430ms );430;2130;64;
Dijkstra;22;Euclidean;Never;Yes (432ms );432;2130;64;
Dijkstra;22;Octile;Never;Yes (433ms );433;2130;64;
Dijkstra;22;Chebyshev;Never;Yes (429ms );429;2130;64;
A* (A Star);23;Manhattan;Never;Yes (4ms );4;214;38;
A* (A Star);23;Euclidean;Never;Yes (7ms );7;279;38;
A* (A Star);23;Octile;Never;Yes (6ms );6;259;38;
A* (A Star);23;Chebyshev;Never;Yes (9ms );9;321;38;
Best First Search;23;Manhattan;Never;Yes (0ms );0;83;38;
Best First Search;23;Euclidean;Never;Yes (2ms );2;170;44;
Best First Search;23;Octile;Never;Yes (2ms );2;170;44;
Best First Search;23;Chebyshev;Never;Yes (5ms );5;234;46;
Dijkstra;23;Manhattan;Never;Yes (93ms );93;1018;38;
Dijkstra;23;Euclidean;Never;Yes (94ms );94;1018;38;
Dijkstra;23;Octile;Never;Yes (94ms );94;1018;38;
Dijkstra;23;Chebyshev;Never;Yes (95ms );95;1018;38;
A* (A Star);24;Manhattan;Never;Yes (46ms );46;686;80;
A* (A Star);24;Euclidean;Never;Yes (177ms );177;1371;80;
A* (A Star);24;Octile;Never;Yes (156ms );156;1271;80;
A* (A Star);24;Chebyshev;Never;Yes (259ms );259;1654;80;
Best First Search;24;Manhattan;Never;Yes (4ms );4;229;110;
Best First Search;24;Euclidean;Never;Yes (2ms );2;169;86;
Best First Search;24;Octile;Never;Yes (2ms );2;170;86;
Best First Search;24;Chebyshev;Never;Yes (2ms );2;181;86;
Dijkstra;24;Manhattan;Never;Yes (2214ms );2214;4689;80;
Dijkstra;24;Euclidean;Never;Yes (2228ms );2228;4689;80;
Dijkstra;24;Octile;Never;Yes (2217ms );2217;4689;80;
Dijkstra;24;Chebyshev;Never;Yes (2226ms );2226;4689;80;
A* (A Star);25;Manhattan;Never;Yes (69ms );69;868;84;
A* (A Star);25;Euclidean;Never;Yes (244ms );244;1621;84;
A* (A Star);25;Octile;Never;Yes (212ms );212;1507;84;
A* (A Star);25;Chebyshev;Never;Yes (358ms );358;1978;84;
Best First Search;25;Manhattan;Never;Yes (2ms );2;191;96;
Best First Search;25;Euclidean;Never;Yes (4ms );4;241;96;
Best First Search;25;Octile;Never;Yes (5ms );5;243;96;
Best First Search;25;Chebyshev;Never;Yes (8ms );8;314;106;
Dijkstra;25;Manhattan;Never;Yes (2042ms );2042;4546;84;
Dijkstra;25;Euclidean;Never;Yes (2052ms );2052;4546;84;
Dijkstra;25;Octile;Never;Yes (2071ms );2071;4546;84;
Dijkstra;25;Chebyshev;Never;Yes (2064ms );2064;4546;84;
A* (A Star);26;Manhattan;Never;Yes (39ms );39;621;103;
A* (A Star);26;Euclidean;Never;Yes (197ms );197;1417;103;
A* (A Star);26;Octile;Never;Yes (173ms );173;1318;103;
A* (A Star);26;Chebyshev;Never;Yes (284ms );284;1689;103;
Best First Search;26;Manhattan;Never;Yes (3ms );3;217;105;
Best First Search;26;Euclidean;Never;Yes (4ms );4;238;109;
Best First Search;26;Octile;Never;Yes (4ms );4;234;121;
Best First Search;26;Chebyshev;Never;Yes (4ms );4;232;115;
Dijkstra;26;Manhattan;Never;Yes (2724ms );2724;5246;103;
Dijkstra;26;Euclidean;Never;Yes (2728ms );2728;5246;103;
Dijkstra;26;Octile;Never;Yes (2719ms );2719;5246;103;
Dijkstra;26;Chebyshev;Never;Yes (2718ms );2718;5246;103;
A* (A Star);27;Manhattan;Never;Yes (330ms );330;1859;123;
A* (A Star);27;Euclidean;Never;Yes (967ms );967;3165;123;
A* (A Star);27;Octile;Never;Yes (871ms );871;2999;123;
A* (A Star);27;Chebyshev;Never;Yes (1273ms );1273;3588;123;
Best First Search;27;Manhattan;Never;Yes (7ms );7;298;135;
Best First Search;27;Euclidean;Never;Yes (7ms );7;296;135;
Best First Search;27;Octile;Never;Yes (7ms );7;302;135;
Best First Search;27;Chebyshev;Never;Yes (8ms );8;328;131;
Dijkstra;27;Manhattan;Never;Yes (3609ms );3609;6050;123;
Dijkstra;27;Euclidean;Never;Yes (3606ms );3606;6050;123;
Dijkstra;27;Octile;Never;Yes (3609ms );3609;6050;123;
Dijkstra;27;Chebyshev;Never;Yes (3623ms );3623;6050;123;
A* (A Star);28;Manhattan;Never;Yes (6ms );6;269;51;
A* (A Star);28;Euclidean;Never;Yes (30ms );30;562;51;
A* (A Star);28;Octile;Never;Yes (25ms );25;516;51;
A* (A Star);28;Chebyshev;Never;Yes (43ms );43;668;51;
Best First Search;28;Manhattan;Never;Yes (0ms );0;104;51;
Best First Search;28;Euclidean;Never;Yes (0ms );0;102;51;
Best First Search;28;Octile;Never;Yes (1ms );1;108;53;
Best First Search;28;Chebyshev;Never;Yes (1ms );1;133;65;
Dijkstra;28;Manhattan;Never;Yes (465ms );465;2226;51;
Dijkstra;28;Euclidean;Never;Yes (467ms );467;2226;51;
Dijkstra;28;Octile;Never;Yes (466ms );466;2226;51;
Dijkstra;28;Chebyshev;Never;Yes (466ms );466;2226;51;
A* (A Star);29;Manhattan;Never;Yes (80ms );80;928;97;
A* (A Star);29;Euclidean;Never;Yes (297ms );297;1759;97;
A* (A Star);29;Octile;Never;Yes (255ms );255;1627;97;
A* (A Star);29;Chebyshev;Never;Yes (439ms );439;2126;97;
Best First Search;29;Manhattan;Never;Yes (4ms );4;232;115;
Best First Search;29;Euclidean;Never;Yes (3ms );3;198;99;
Best First Search;29;Octile;Never;Yes (3ms );3;196;99;
Best First Search;29;Chebyshev;Never;Yes (5ms );5;259;113;
Dijkstra;29;Manhattan;Never;Yes (1725ms );1725;4191;97;
Dijkstra;29;Euclidean;Never;Yes (1746ms );1746;4191;97;
Dijkstra;29;Octile;Never;Yes (1726ms );1726;4191;97;
Dijkstra;29;Chebyshev;Never;Yes (1749ms );1749;4191;97;
A* (A Star);30;Manhattan;Never;Yes (39ms );39;664;76;
A* (A Star);30;Euclidean;Never;Yes (97ms );97;981;76;
A* (A Star);30;Octile;Never;Yes (68ms );68;868;76;
A* (A Star);30;Chebyshev;Never;Yes (128ms );128;1183;76;
Best First Search;30;Manhattan;Never;Yes (5ms );5;251;90;
Best First Search;30;Euclidean;Never;Yes (2ms );2;168;82;
Best First Search;30;Octile;Never;Yes (2ms );2;170;82;
Best First Search;30;Chebyshev;Never;Yes (2ms );2;171;80;
Dijkstra;30;Manhattan;Never;Yes (1267ms );1267;3588;76;
Dijkstra;30;Euclidean;Never;Yes (1258ms );1258;3588;76;
Dijkstra;30;Octile;Never;Yes (1249ms );1249;3588;76;
Dijkstra;30;Chebyshev;Never;Yes (1244ms );1244;3588;76;
A* (A Star);31;Manhattan;Never;Yes (7ms );7;279;43;
A* (A Star);31;Euclidean;Never;Yes (12ms );12;360;43;
A* (A Star);31;Octile;Never;Yes (12ms );12;359;43;
A* (A Star);31;Chebyshev;Never;Yes (13ms );13;367;43;
Best First Search;31;Manhattan;Never;Yes (1ms );1;136;57;
Best First Search;31;Euclidean;Never;Yes (0ms );0;94;43;
Best First Search;31;Octile;Never;Yes (0ms );0;94;43;
Best First Search;31;Chebyshev;Never;Yes (0ms );0;99;43;
Dijkstra;31;Manhattan;Never;Yes (39ms );39;637;43;
Dijkstra;31;Euclidean;Never;Yes (39ms );39;637;43;
Dijkstra;31;Octile;Never;Yes (39ms );39;637;43;
Dijkstra;31;Chebyshev;Never;Yes (39ms );39;637;43;
A* (A Star);32;Manhattan;Never;Yes (4ms );4;203;40;
A* (A Star);32;Euclidean;Never;Yes (7ms );7;294;40;
A* (A Star);32;Octile;Never;Yes (6ms );6;279;40;
A* (A Star);32;Chebyshev;Never;Yes (12ms );12;389;40;
Best First Search;32;Manhattan;Never;Yes (0ms );0;97;46;
Best First Search;32;Euclidean;Never;Yes (0ms );0;100;40;
Best First Search;32;Octile;Never;Yes (0ms );0;103;40;
Best First Search;32;Chebyshev;Never;Yes (1ms );1;108;40;
Dijkstra;32;Manhattan;Never;Yes (227ms );227;1577;40;
Dijkstra;32;Euclidean;Never;Yes (227ms );227;1577;40;
Dijkstra;32;Octile;Never;Yes (231ms );231;1577;40;
Dijkstra;32;Chebyshev;Never;Yes (227ms );227;1577;40;
A* (A Star);33;Manhattan;Never;Yes (2ms );2;145;28;
A* (A Star);33;Euclidean;Never;Yes (3ms );3;194;28;
A* (A Star);33;Octile;Never;Yes (3ms );3;179;28;
A* (A Star);33;Chebyshev;Never;Yes (5ms );5;233;28;
Best First Search;33;Manhattan;Never;Yes (0ms );0;65;30;
Best First Search;33;Euclidean;Never;Yes (0ms );0;56;28;
Best First Search;33;Octile;Never;Yes (0ms );0;56;28;
Best First Search;33;Chebyshev;Never;Yes (0ms );0;56;28;
Dijkstra;33;Manhattan;Never;Yes (81ms );81;942;28;
Dijkstra;33;Euclidean;Never;Yes (82ms );82;942;28;
Dijkstra;33;Octile;Never;Yes (83ms );83;942;28;
Dijkstra;33;Chebyshev;Never;Yes (82ms );82;942;28;
A* (A Star);34;Manhattan;Never;Yes (24ms );24;509;64;
