Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;16;File;Manhattan;IfAtMostOneObstacle;Yes;2;1910;103,124891681028;
Best First Search;16;File;Euclidean;IfAtMostOneObstacle;Yes;2;1910;94,5391052434009;
Best First Search;16;File;Octile;IfAtMostOneObstacle;Yes;2;1910;95,7106781186547;
Best First Search;16;File;Chebyshev;IfAtMostOneObstacle;Yes;3;1910;113,325901807804;
Dijkstra;16;File;Manhattan;IfAtMostOneObstacle;Yes;898;5636;84,7401153701775;
Dijkstra;16;File;Euclidean;IfAtMostOneObstacle;Yes;880;5636;84,7401153701775;
Dijkstra;16;File;Octile;IfAtMostOneObstacle;Yes;900;5636;84,7401153701775;
Dijkstra;16;File;Chebyshev;IfAtMostOneObstacle;Yes;906;5636;84,7401153701775;
A* (A Star);17;File;Manhattan;IfAtMostOneObstacle;Yes;5;362;74,5979797464466;
A* (A Star);17;File;Euclidean;IfAtMostOneObstacle;Yes;12;591;67,0832611206852;
A* (A Star);17;File;Octile;IfAtMostOneObstacle;Yes;7;591;67,0832611206852;
A* (A Star);17;File;Chebyshev;IfAtMostOneObstacle;Yes;36;1041;67,0832611206852;
Best First Search;17;File;Manhattan;IfAtMostOneObstacle;Yes;3;1041;84,3969696196699;
Best First Search;17;File;Euclidean;IfAtMostOneObstacle;Yes;1;1041;86,3969696196699;
Best First Search;17;File;Octile;IfAtMostOneObstacle;Yes;1;1041;70,1543289325507;
Best First Search;17;File;Chebyshev;IfAtMostOneObstacle;Yes;1;1041;67,0832611206852;
Dijkstra;17;File;Manhattan;IfAtMostOneObstacle;Yes;531;4344;67,0832611206852;
Dijkstra;17;File;Euclidean;IfAtMostOneObstacle;Yes;558;4344;67,0832611206852;
Dijkstra;17;File;Octile;IfAtMostOneObstacle;Yes;554;4344;67,0832611206852;
Dijkstra;17;File;Chebyshev;IfAtMostOneObstacle;Yes;529;4344;67,0832611206852;
A* (A Star);18;File;Manhattan;IfAtMostOneObstacle;Yes;18;609;84,8406204335659;
A* (A Star);18;File;Euclidean;IfAtMostOneObstacle;Yes;47;1229;79,2842712474619;
A* (A Star);18;File;Octile;IfAtMostOneObstacle;Yes;36;1229;79,2842712474619;
A* (A Star);18;File;Chebyshev;IfAtMostOneObstacle;Yes;88;1691;79,2842712474619;
Best First Search;18;File;Manhattan;IfAtMostOneObstacle;Yes;2;1691;89,7106781186547;
Best First Search;18;File;Euclidean;IfAtMostOneObstacle;Yes;2;1691;89,1248916810278;
