Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
IDA* (IDA Star);11;WithPattern;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);11;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;11;WithPattern;Manhattan;Never;Yes;101;2350;60;
Dijkstra;11;WithPattern;Euclidean;Never;Yes;99;2350;60;
Dijkstra;11;WithPattern;Octile;Never;Yes;101;2350;60;
Dijkstra;11;WithPattern;Chebyshev;Never;Yes;99;2350;60;
A* (A Star);12;WithPattern;Manhattan;Never;Yes;103;2203;121;
A* (A Star);12;WithPattern;Euclidean;Never;Yes;218;3315;121;
A* (A Star);12;WithPattern;Octile;Never;Yes;192;3049;121;
A* (A Star);12;WithPattern;Chebyshev;Never;Yes;271;3631;121;
Best First Search;12;WithPattern;Manhattan;Never;Yes;1;250;123;
Best First Search;12;WithPattern;Euclidean;Never;Yes;1;227;121;
Best First Search;12;WithPattern;Octile;Never;Yes;1;219;121;
Best First Search;12;WithPattern;Chebyshev;Never;Yes;1;219;121;
IDA* (IDA Star);12;WithPattern;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);12;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);12;WithPattern;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);12;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;12;WithPattern;Manhattan;Never;Yes;793;6588;121;
Dijkstra;12;WithPattern;Euclidean;Never;Yes;772;6588;121;
Dijkstra;12;WithPattern;Octile;Never;Yes;782;6588;121;
Dijkstra;12;WithPattern;Chebyshev;Never;Yes;793;6588;121;
A* (A Star);13;WithPattern;Manhattan;Never;Yes;145;2417;113;
A* (A Star);13;WithPattern;Euclidean;Never;Yes;201;3274;113;
A* (A Star);13;WithPattern;Octile;Never;Yes;201;3127;113;
A* (A Star);13;WithPattern;Chebyshev;Never;Yes;228;3468;113;
Best First Search;13;WithPattern;Manhattan;Never;Yes;2;260;135;
Best First Search;13;WithPattern;Euclidean;Never;Yes;1;195;113;
Best First Search;13;WithPattern;Octile;Never;Yes;1;195;113;
Best First Search;13;WithPattern;Chebyshev;Never;Yes;1;195;113;
IDA* (IDA Star);13;WithPattern;Manhattan;Never;Yes;0;0;113;
IDA* (IDA Star);13;WithPattern;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);13;WithPattern;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);13;WithPattern;Chebyshev;Never;No;5001;0;-1;
Dijkstra;13;WithPattern;Manhattan;Never;Yes;671;6185;113;
Dijkstra;13;WithPattern;Euclidean;Never;Yes;668;6185;113;
Dijkstra;13;WithPattern;Octile;Never;Yes;673;6185;113;
