alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
A* (A Star);19;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;46;12,2426406871193;
Best First Search;19;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;42;13,6568542494924;
Best First Search;19;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;33;16,2426406871193;
Best First Search;19;Octile;OnlyWhenNoObstacles;Yes (0ms );0;33;16,2426406871193;
Best First Search;19;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;31;12,8284271247462;
Dijkstra;19;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;63;12,2426406871193;
Dijkstra;19;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;63;12,2426406871193;
Dijkstra;19;Octile;OnlyWhenNoObstacles;Yes (0ms );0;63;12,2426406871193;
Dijkstra;19;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;63;12,2426406871193;
IDA* (IDA Star);19;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;0;12,2426406871193;
IDA* (IDA Star);19;Euclidean;OnlyWhenNoObstacles;Yes (61ms );61;0;12,2426406871193;
IDA* (IDA Star);19;Octile;OnlyWhenNoObstacles;Yes (8ms );8;0;12,2426406871193;
IDA* (IDA Star);19;Chebyshev;OnlyWhenNoObstacles;Yes (33ms );33;0;12,2426406871193;
A* (A Star);20;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;35;13,6568542494924;
A* (A Star);20;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;33;13,6568542494924;
A* (A Star);20;Octile;OnlyWhenNoObstacles;Yes (0ms );0;33;13,6568542494924;
A* (A Star);20;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;40;13,6568542494924;
Best First Search;20;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;33;13,6568542494924;
Best First Search;20;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;28;13,6568542494924;
Best First Search;20;Octile;OnlyWhenNoObstacles;Yes (0ms );0;28;13,6568542494924;
Best First Search;20;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;34;15,0710678118655;
Dijkstra;20;Manhattan;OnlyWhenNoObstacles;Yes (4ms );4;118;13,6568542494924;
Dijkstra;20;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;118;13,6568542494924;
Dijkstra;20;Octile;OnlyWhenNoObstacles;Yes (1ms );1;118;13,6568542494924;
Dijkstra;20;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;118;13,6568542494924;
IDA* (IDA Star);20;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;13,6568542494924;
IDA* (IDA Star);20;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;0;13,6568542494924;
IDA* (IDA Star);20;Octile;OnlyWhenNoObstacles;Yes (0ms );0;0;13,6568542494924;
IDA* (IDA Star);20;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;0;13,6568542494924;
A* (A Star);21;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;38;14,8284271247462;
A* (A Star);21;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;44;14,8284271247462;
A* (A Star);21;Octile;OnlyWhenNoObstacles;Yes (0ms );0;37;14,8284271247462;
A* (A Star);21;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;56;14,8284271247462;
Best First Search;21;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;31;14,8284271247462;
Best First Search;21;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;31;14,8284271247462;
Best First Search;21;Octile;OnlyWhenNoObstacles;Yes (0ms );0;31;14,8284271247462;
Best First Search;21;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;33;14,8284271247462;
Dijkstra;21;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;160;14,8284271247462;
Dijkstra;21;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;160;14,8284271247462;
Dijkstra;21;Octile;OnlyWhenNoObstacles;Yes (2ms );2;160;14,8284271247462;
Dijkstra;21;Chebyshev;OnlyWhenNoObstacles;Yes (4ms );4;160;14,8284271247462;
IDA* (IDA Star);21;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;0;14,8284271247462;
IDA* (IDA Star);21;Euclidean;OnlyWhenNoObstacles;Yes (2ms );2;0;14,8284271247462;
IDA* (IDA Star);21;Octile;OnlyWhenNoObstacles;Yes (1ms );1;0;14,8284271247462;
IDA* (IDA Star);21;Chebyshev;OnlyWhenNoObstacles;Yes (6ms );6;0;14,8284271247462;
A* (A Star);22;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;109;25,0710678118655;
A* (A Star);22;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;121;25,0710678118655;
A* (A Star);22;Octile;OnlyWhenNoObstacles;Yes (1ms );1;117;25,0710678118655;
A* (A Star);22;Chebyshev;OnlyWhenNoObstacles;Yes (3ms );3;123;25,0710678118655;
Best First Search;22;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;59;25,8994949366117;
Best First Search;22;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;54;25,8994949366117;
Best First Search;22;Octile;OnlyWhenNoObstacles;Yes (0ms );0;54;25,8994949366117;
Best First Search;22;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;55;25,0710678118655;
Dijkstra;22;Manhattan;OnlyWhenNoObstacles;Yes (5ms );5;198;25,0710678118655;
Dijkstra;22;Euclidean;OnlyWhenNoObstacles;Yes (4ms );4;198;25,0710678118655;
Dijkstra;22;Octile;OnlyWhenNoObstacles;Yes (7ms );7;198;25,0710678118655;
Dijkstra;22;Chebyshev;OnlyWhenNoObstacles;Yes (6ms );6;198;25,0710678118655;
IDA* (IDA Star);22;Manhattan;OnlyWhenNoObstacles;No;1001;0;-1;
IDA* (IDA Star);22;Euclidean;OnlyWhenNoObstacles;No;1001;0;-1;
IDA* (IDA Star);22;Octile;OnlyWhenNoObstacles;No;1001;0;-1;
IDA* (IDA Star);22;Chebyshev;OnlyWhenNoObstacles;No;1001;0;-1;
A* (A Star);23;Manhattan;Never;Yes (2ms );2;182;34;
A* (A Star);23;Euclidean;Never;Yes (2ms );2;190;34;
A* (A Star);23;Octile;Never;Yes (3ms );3;186;34;
A* (A Star);23;Chebyshev;Never;Yes (5ms );5;201;34;
Best First Search;23;Manhattan;Never;Yes (0ms );0;66;36;
Best First Search;23;Euclidean;Never;Yes (0ms );0;75;36;
Best First Search;23;Octile;Never;Yes (0ms );0;79;40;
Best First Search;23;Chebyshev;Never;Yes (0ms );0;80;38;
Dijkstra;23;Manhattan;Never;Yes (6ms );6;257;34;
Dijkstra;23;Euclidean;Never;Yes (5ms );5;257;34;
Dijkstra;23;Octile;Never;Yes (8ms );8;257;34;
