alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;No;16005;831;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;525;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;Yes (9839ms );9839;800;7,24264068711928;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;299;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;Yes (7584ms );7584;1311;11,4142135623731;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;No;20504;860;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;447;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;Yes (9818ms );9818;1051;12,4142135623731;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;15602;744;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;15459;808;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;14986;755;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;15616;759;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;20436;921;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;21825;900;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;No;24199;1266;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;401;Genetic Algorithm;3;Euclidean;OnlyWhenNoObstacles;Yes (9316ms );9316;1014;9,24264068711929;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;14316;854;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;14601;739;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;15542;821;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;15162;953;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;21408;846;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;25828;1012;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;No;24323;1149;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;925;Genetic Algorithm;3;Octile;OnlyWhenNoObstacles;Yes (22138ms );22138;1039;6,41421356237309;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;No;12584;794;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;186;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;Yes (2336ms );2336;812;5,82842712474619;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;No;13435;823;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;595;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;Yes (7815ms );7815;778;5,82842712474619;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;476;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;Yes (8168ms );8168;711;9,82842712474619;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;No;17742;868;-1;
