alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Best First Search;16;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;65;23,2132034355964;
IDA* (IDA Star);16;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;23,2132034355964;
IDA* (IDA Star);16;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;0;23,2132034355964;
IDA* (IDA Star);16;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;23,2132034355964;
IDA* (IDA Star);16;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;16;Manhattan;IfAtMostOneObstacle;Yes (277ms );277;1237;23,2132034355964;
Dijkstra;16;Euclidean;IfAtMostOneObstacle;Yes (278ms );278;1237;23,2132034355964;
Dijkstra;16;Octile;IfAtMostOneObstacle;Yes (279ms );279;1237;23,2132034355964;
Dijkstra;16;Chebyshev;IfAtMostOneObstacle;Yes (280ms );280;1237;23,2132034355964;
A* (A Star);17;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;154;45,7695526217005;
A* (A Star);17;Euclidean;IfAtMostOneObstacle;Yes (26ms );26;410;45,7695526217005;
A* (A Star);17;Octile;IfAtMostOneObstacle;Yes (14ms );14;314;45,7695526217005;
A* (A Star);17;Chebyshev;IfAtMostOneObstacle;Yes (56ms );56;589;45,7695526217005;
Best First Search;17;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;138;48,254833995939;
Best First Search;17;Euclidean;IfAtMostOneObstacle;Yes (2ms );2;137;51,0832611206852;
Best First Search;17;Octile;IfAtMostOneObstacle;Yes (2ms );2;137;51,0832611206852;
Best First Search;17;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;118;45,7695526217005;
IDA* (IDA Star);17;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);17;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);17;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);17;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;17;Manhattan;IfAtMostOneObstacle;Yes (1590ms );1590;2956;45,7695526217005;
Dijkstra;17;Euclidean;IfAtMostOneObstacle;Yes (1567ms );1567;2956;45,7695526217005;
Dijkstra;17;Octile;IfAtMostOneObstacle;Yes (1567ms );1567;2956;45,7695526217005;
